"","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"1617","sp|Q7TQI3|OTUB1_MOUSE","sp|Q7TQI3|OTUB1_MOUSE","5","5","5","Ubiquitin thioesterase OTUB1",1,5,5,5
"1618","sp|Q7TSG2|CTDP1_MOUSE","sp|Q7TSG2|CTDP1_MOUSE","2","2","2","RNA polymerase II subunit A C-terminal domain phosphatase",1,2,2,2
"1619","sp|Q7TSH3|ZN516_MOUSE","sp|Q7TSH3|ZN516_MOUSE","2","2","2","Zinc finger protein 516",1,2,2,2
"1620","sp|Q7TSI3|PP6R1_MOUSE","sp|Q7TSI3|PP6R1_MOUSE","9","9","9","Serine/threonine-protein phosphatase 6 regulatory subunit 1",1,9,9,9
"1621","sp|Q7TSV4|PGM2_MOUSE","sp|Q7TSV4|PGM2_MOUSE","10","10","10","Phosphoglucomutase-2",1,10,10,10
"1622","sp|Q99K70|RRAGC_MOUSE;sp|Q7TT45|RRAGD_MOUSE","sp|Q99K70|RRAGC_MOUSE;sp|Q7TT45|RRAGD_MOUSE","2;2","2;2","2;2","Ras-related GTP-binding protein C;Ras-related GTP-binding protein D",2,2,2,2
"1623","sp|Q7TT50|MRCKB_MOUSE","sp|Q7TT50|MRCKB_MOUSE","5","5","5","Serine/threonine-protein kinase MRCK beta",1,5,5,5
"1624","sp|Q80SU7|GVIN1_MOUSE","sp|Q80SU7|GVIN1_MOUSE","17","17","17","Interferon-induced very large GTPase 1",1,17,17,17
"1625","sp|Q80SY3|VA0D2_MOUSE","sp|Q80SY3|VA0D2_MOUSE","9","9","9","V-type proton ATPase subunit d 2",1,9,9,9
"1626","sp|Q80SY5|PR38B_MOUSE","sp|Q80SY5|PR38B_MOUSE","2","2","2","Pre-mRNA-splicing factor 38B",1,2,2,2
"1627","sp|Q80SZ7|GBG5_MOUSE","sp|Q80SZ7|GBG5_MOUSE","5","5","5","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5",1,5,5,5
"1628","sp|Q80TH2|ERBIN_MOUSE","sp|Q80TH2|ERBIN_MOUSE","3","3","3","Erbin",1,3,3,3
"1629","sp|Q80TM9|NISCH_MOUSE","sp|Q80TM9|NISCH_MOUSE","4","4","4","Nischarin",1,4,4,4
"1630","sp|Q80TY0|FNBP1_MOUSE","sp|Q80TY0|FNBP1_MOUSE","7","7","6","Formin-binding protein 1",1,7,7,6
"1631","sp|Q80U93|NU214_MOUSE","sp|Q80U93|NU214_MOUSE","3","3","3","Nuclear pore complex protein Nup214",1,3,3,3
"1632","sp|Q80UG5|SEPT9_MOUSE","sp|Q80UG5|SEPT9_MOUSE","23","23","23","Septin-9",1,23,23,23
"1633","sp|Q80UM3|NAA15_MOUSE","sp|Q80UM3|NAA15_MOUSE","8","8","7","N-alpha-acetyltransferase 15, NatA auxiliary subunit",1,8,8,7
"1634","sp|Q80UM7|MOGS_MOUSE","sp|Q80UM7|MOGS_MOUSE","9","9","9","Mannosyl-oligosaccharide glucosidase",1,9,9,9
"1635","sp|Q80UU9|PGRC2_MOUSE","sp|Q80UU9|PGRC2_MOUSE","4","4","4","Membrane-associated progesterone receptor component 2",1,4,4,4
"1636","sp|Q80UW8|RPAB1_MOUSE","sp|Q80UW8|RPAB1_MOUSE","3","3","3","DNA-directed RNA polymerases I, II, and III subunit RPABC1",1,3,3,3
"1637","sp|Q80VD1|FA98B_MOUSE;sp|Q3TJZ6|FA98A_MOUSE","sp|Q80VD1|FA98B_MOUSE","4;1","4;1","4;1","Protein FAM98B",2,4,4,4
"1638","sp|Q80VP1|EPN1_MOUSE","sp|Q80VP1|EPN1_MOUSE","4","4","3","Epsin-1",1,4,4,3
"1639","sp|Q80VQ0|AL3B1_MOUSE;sp|J3QMK6|AL3B3_MOUSE;sp|E9Q3E1|AL3B2_MOUSE","sp|Q80VQ0|AL3B1_MOUSE","19;6;5","19;6;5","19;6;5","Aldehyde dehydrogenase family 3 member B1",3,19,19,19
"1640","sp|Q80VQ1|LRRC1_MOUSE;sp|Q80U72|SCRIB_MOUSE","sp|Q80VQ1|LRRC1_MOUSE;sp|Q80U72|SCRIB_MOUSE","2;1","2;1","2;1","Leucine-rich repeat-containing protein 1;Protein scribble homolog",2,2,2,2
"1641","sp|Q80W54|FACE1_MOUSE","sp|Q80W54|FACE1_MOUSE","5","5","5","CAAX prenyl protease 1 homolog",1,5,5,5
"1642","sp|Q80WJ7|LYRIC_MOUSE","sp|Q80WJ7|LYRIC_MOUSE","12","12","12","Protein LYRIC",1,12,12,12
"1643","sp|Q80WQ2|VAC14_MOUSE","sp|Q80WQ2|VAC14_MOUSE","4","4","4","Protein VAC14 homolog",1,4,4,4
"1644","sp|Q80WW9|DDRGK_MOUSE","sp|Q80WW9|DDRGK_MOUSE","2","2","2","DDRGK domain-containing protein 1",1,2,2,2
"1645","sp|Q80X41|VRK1_MOUSE","sp|Q80X41|VRK1_MOUSE","7","7","7","Serine/threonine-protein kinase VRK1",1,7,7,7
"1646","sp|Q80X50|UBP2L_MOUSE","sp|Q80X50|UBP2L_MOUSE","6","6","6","Ubiquitin-associated protein 2-like",1,6,6,6
"1647","sp|Q80X82|SYMPK_MOUSE","sp|Q80X82|SYMPK_MOUSE","5","5","5","Symplekin",1,5,5,5
"1648","sp|Q80X90|FLNB_MOUSE","sp|Q80X90|FLNB_MOUSE","26","22","21","Filamin-B",1,26,22,21
"1649","sp|Q80XI4|PI42B_MOUSE","sp|Q80XI4|PI42B_MOUSE","4","2","2","Phosphatidylinositol 5-phosphate 4-kinase type-2 beta",1,4,2,2
"1650","sp|Q80XN0|BDH_MOUSE","sp|Q80XN0|BDH_MOUSE","4","4","4","D-beta-hydroxybutyrate dehydrogenase, mitochondrial",1,4,4,4
"1651","sp|Q80Y14|GLRX5_MOUSE","sp|Q80Y14|GLRX5_MOUSE","3","3","3","Glutaredoxin-related protein 5, mitochondrial",1,3,3,3
"1652","sp|Q80Y75|DJB13_MOUSE","sp|Q80Y75|DJB13_MOUSE","3","3","3","DnaJ homolog subfamily B member 13",1,3,3,3
"1653","sp|Q80YR5|SAFB2_MOUSE","sp|Q80YR5|SAFB2_MOUSE","6","4","4","Scaffold attachment factor B2",1,6,4,4
"1654","sp|Q80YT7|MYOME_MOUSE","sp|Q80YT7|MYOME_MOUSE","2","2","2","Myomegalin",1,2,2,2
"1655","sp|Q80YW0|CYH4_MOUSE","sp|Q80YW0|CYH4_MOUSE","2","2","2","Cytohesin-4",1,2,2,2
"1656","sp|Q80ZU5|CC181_MOUSE","sp|Q80ZU5|CC181_MOUSE","2","2","2","Coiled-coil domain-containing protein 181",1,2,2,2
"1657","sp|Q80ZV0|RNH2B_MOUSE","sp|Q80ZV0|RNH2B_MOUSE","2","2","2","Ribonuclease H2 subunit B",1,2,2,2
"1658","sp|Q80ZW2|THEM6_MOUSE","sp|Q80ZW2|THEM6_MOUSE","2","2","2","Protein THEM6",1,2,2,2
"1659","sp|Q810A7|DDX42_MOUSE","sp|Q810A7|DDX42_MOUSE","2","2","2","ATP-dependent RNA helicase DDX42",1,2,2,2
"1660","sp|Q810B6|ANFY1_MOUSE","sp|Q810B6|ANFY1_MOUSE","10","10","10","Rabankyrin-5",1,10,10,10
"1661","sp|Q811D0|DLG1_MOUSE","sp|Q811D0|DLG1_MOUSE","3","3","3","Disks large homolog 1",1,3,3,3
"1662","sp|Q8BFQ8|GALD1_MOUSE","sp|Q8BFQ8|GALD1_MOUSE","3","3","3","Glutamine amidotransferase-like class 1 domain-containing protein 1",1,3,3,3
"1663","sp|Q8BFR4|GNS_MOUSE","sp|Q8BFR4|GNS_MOUSE","10","10","10","N-acetylglucosamine-6-sulfatase",1,10,10,10
"1664","sp|Q8BFR5|EFTU_MOUSE","sp|Q8BFR5|EFTU_MOUSE","22","22","22","Elongation factor Tu, mitochondrial",1,22,22,22
"1665","sp|Q8BFW7|LPP_MOUSE","sp|Q8BFW7|LPP_MOUSE","6","6","6","Lipoma-preferred partner homolog",1,6,6,6
"1666","sp|Q8BFY6|PEF1_MOUSE","sp|Q8BFY6|PEF1_MOUSE","3","3","3","Peflin",1,3,3,3
"1667","sp|Q8BFY9|TNPO1_MOUSE","sp|Q8BFY9|TNPO1_MOUSE","8","8","4","Transportin-1",1,8,8,4
"1668","sp|Q8BFZ3|ACTBL_MOUSE","sp|Q8BFZ3|ACTBL_MOUSE","17","3","3","Beta-actin-like protein 2",1,17,3,3
"1669","sp|Q8BFZ9|ERLN2_MOUSE;sp|Q91X78|ERLN1_MOUSE","sp|Q8BFZ9|ERLN2_MOUSE","12;5","12;5","12;5","Erlin-2",2,12,12,12
"1670","sp|Q8BG05|ROA3_MOUSE","sp|Q8BG05|ROA3_MOUSE","33","33","33","Heterogeneous nuclear ribonucleoprotein A3",1,33,33,33
"1671","sp|Q8BG07|PLD4_MOUSE","sp|Q8BG07|PLD4_MOUSE","9","9","9","5-3 exonuclease PLD4",1,9,9,9
"1672","sp|Q8BG32|PSD11_MOUSE","sp|Q8BG32|PSD11_MOUSE","12","12","12","26S proteasome non-ATPase regulatory subunit 11",1,12,12,12
"1673","sp|Q8BG51|MIRO1_MOUSE","sp|Q8BG51|MIRO1_MOUSE","2","2","2","Mitochondrial Rho GTPase 1",1,2,2,2
"1674","sp|Q8BG67|EFR3A_MOUSE","sp|Q8BG67|EFR3A_MOUSE","4","4","4","Protein EFR3 homolog A",1,4,4,4
"1675","sp|Q8BG81|PDIP3_MOUSE","sp|Q8BG81|PDIP3_MOUSE","5","5","5","Polymerase delta-interacting protein 3",1,5,5,5
"1676","sp|Q8BGB5|LIMD2_MOUSE","sp|Q8BGB5|LIMD2_MOUSE","5","4","4","LIM domain-containing protein 2",1,5,4,4
"1677","sp|Q8BGB7|ENOPH_MOUSE","sp|Q8BGB7|ENOPH_MOUSE","2","2","2","Enolase-phosphatase E1",1,2,2,2
"1678","sp|Q8BGC4|PTGR3_MOUSE","sp|Q8BGC4|PTGR3_MOUSE","8","8","8","Prostaglandin reductase-3",1,8,8,8
"1679","sp|Q8BGD9|IF4B_MOUSE","sp|Q8BGD9|IF4B_MOUSE","14","14","14","Eukaryotic translation initiation factor 4B",1,14,14,14
"1680","sp|Q8BGH2|SAM50_MOUSE","sp|Q8BGH2|SAM50_MOUSE","6","6","6","Sorting and assembly machinery component 50 homolog",1,6,6,6
"1681","sp|Q8BGQ7|SYAC_MOUSE","sp|Q8BGQ7|SYAC_MOUSE","8","8","8","Alanine--tRNA ligase, cytoplasmic",1,8,8,8
"1682","sp|Q8BGS2|BOLA2_MOUSE","sp|Q8BGS2|BOLA2_MOUSE","2","2","2","BolA-like protein 2",1,2,2,2
"1683","sp|Q8BGS7|CEPT1_MOUSE","sp|Q8BGS7|CEPT1_MOUSE","2","2","2","Choline/ethanolaminephosphotransferase 1",1,2,2,2
"1684","sp|Q8BGW0|THMS1_MOUSE","sp|Q8BGW0|THMS1_MOUSE","3","3","3","Protein THEMIS",1,3,3,3
"1685","sp|Q8BH04|PCKGM_MOUSE","sp|Q8BH04|PCKGM_MOUSE","5","5","5","Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",1,5,5,5
"1686","sp|Q8BH07|AR6P6_MOUSE","sp|Q8BH07|AR6P6_MOUSE","2","2","2","ADP-ribosylation factor-like protein 6-interacting protein 6",1,2,2,2
"1687","sp|Q8BH24|TM9S4_MOUSE","sp|Q8BH24|TM9S4_MOUSE","3","3","3","Transmembrane 9 superfamily member 4",1,3,3,3
"1688","sp|Q8BH43|WASF2_MOUSE","sp|Q8BH43|WASF2_MOUSE","6","6","6","Wiskott-Aldrich syndrome protein family member 2",1,6,6,6
"1689","sp|Q8BH59|CMC1_MOUSE","sp|Q8BH59|CMC1_MOUSE","21","21","19","Calcium-binding mitochondrial carrier protein Aralar1",1,21,21,19
"1690","sp|Q8BH61|F13A_MOUSE","sp|Q8BH61|F13A_MOUSE","26","26","26","Coagulation factor XIII A chain",1,26,26,26
"1691","sp|Q8BH64|EHD2_MOUSE","sp|Q8BH64|EHD2_MOUSE","23","23","23","EH domain-containing protein 2",1,23,23,23
"1692","sp|Q8BH69|SPS1_MOUSE","sp|Q8BH69|SPS1_MOUSE","7","7","7","Selenide, water dikinase 1",1,7,7,7
"1693","sp|Q8BH74|NU107_MOUSE","sp|Q8BH74|NU107_MOUSE","2","2","2","Nuclear pore complex protein Nup107",1,2,2,2
"1694","sp|Q8BH95|ECHM_MOUSE","sp|Q8BH95|ECHM_MOUSE","11","11","11","Enoyl-CoA hydratase, mitochondrial",1,11,11,11
"1695","sp|Q8BHB9|CLIC6_MOUSE","sp|Q8BHB9|CLIC6_MOUSE","8","6","6","Chloride intracellular channel protein 6",1,8,6,6
"1696","sp|Q8BHD1|POC1B_MOUSE","sp|Q8BHD1|POC1B_MOUSE","2","2","2","POC1 centriolar protein homolog B",1,2,2,2
"1697","sp|Q8BHD7|PTBP3_MOUSE","sp|Q8BHD7|PTBP3_MOUSE","12","10","10","Polypyrimidine tract-binding protein 3",1,12,10,10
"1698","sp|Q8BHG1|NRDC_MOUSE","sp|Q8BHG1|NRDC_MOUSE","7","7","7","Nardilysin",1,7,7,7
"1699","sp|Q8BHL4|RAI3_MOUSE","sp|Q8BHL4|RAI3_MOUSE","3","3","3","Retinoic acid-induced protein 3",1,3,3,3
"1700","sp|Q8BHL5|ELMO2_MOUSE","sp|Q8BHL5|ELMO2_MOUSE","12","8","8","Engulfment and cell motility protein 2",1,12,8,8
"1701","sp|Q8BHN3|GANAB_MOUSE","sp|Q8BHN3|GANAB_MOUSE","31","31","31","Neutral alpha-glucosidase AB",1,31,31,31
"1702","sp|Q8BHS3|RBM22_MOUSE","sp|Q8BHS3|RBM22_MOUSE","2","2","2","Pre-mRNA-splicing factor RBM22",1,2,2,2
"1703","sp|Q8BHW2|OSCP1_MOUSE","sp|Q8BHW2|OSCP1_MOUSE","2","2","2","Protein OSCP1",1,2,2,2
"1704","sp|Q8BHZ0|CYRIA_MOUSE","sp|Q8BHZ0|CYRIA_MOUSE","5","3","3","CYFIP-related Rac1 interactor A",1,5,3,3
"1705","sp|Q8BI08|MAL2_MOUSE","sp|Q8BI08|MAL2_MOUSE","2","2","2","Protein MAL2",1,2,2,2
"1706","sp|Q8BI22|CE128_MOUSE","sp|Q8BI22|CE128_MOUSE","8","8","8","Centrosomal protein of 128 kDa",1,8,8,8
"1707","sp|Q8BI72|CARF_MOUSE","sp|Q8BI72|CARF_MOUSE","3","3","3","CDKN2A-interacting protein",1,3,3,3
"1708","sp|Q8BI79|CCD40_MOUSE","sp|Q8BI79|CCD40_MOUSE","4","4","4","Coiled-coil domain-containing protein 40",1,4,4,4
"1709","sp|Q8BI84|TGO1_MOUSE","sp|Q8BI84|TGO1_MOUSE","3","3","3","Transport and Golgi organization protein 1 homolog",1,3,3,3
"1710","sp|Q8BIJ6|SYIM_MOUSE","sp|Q8BIJ6|SYIM_MOUSE","7","7","7","Isoleucine--tRNA ligase, mitochondrial",1,7,7,7
"1711","sp|Q8BIJ7|RUFY1_MOUSE","sp|Q8BIJ7|RUFY1_MOUSE","4","4","4","RUN and FYVE domain-containing protein 1",1,4,4,4
"1712","sp|Q8BIQ5|CSTF2_MOUSE","sp|Q8BIQ5|CSTF2_MOUSE","6","6","5","Cleavage stimulation factor subunit 2",1,6,6,5
"1713","sp|Q8BJ05|ZC3HE_MOUSE","sp|Q8BJ05|ZC3HE_MOUSE","2","2","2","Zinc finger CCCH domain-containing protein 14",1,2,2,2
"1714","sp|Q8BJ71|NUP93_MOUSE","sp|Q8BJ71|NUP93_MOUSE","7","7","7","Nuclear pore complex protein Nup93",1,7,7,7
"1715","sp|Q8BJS4|SUN2_MOUSE","sp|Q8BJS4|SUN2_MOUSE","26","26","26","SUN domain-containing protein 2",1,26,26,26
"1716","sp|Q8BJU0|SGTA_MOUSE","sp|Q8BJU0|SGTA_MOUSE","8","8","8","Small glutamine-rich tetratricopeptide repeat-containing protein alpha",1,8,8,8
"1717","sp|Q8BJW6|EIF2A_MOUSE","sp|Q8BJW6|EIF2A_MOUSE","6","6","6","Eukaryotic translation initiation factor 2A",1,6,6,6
"1718","sp|Q8BJY1|PSMD5_MOUSE","sp|Q8BJY1|PSMD5_MOUSE","11","11","11","26S proteasome non-ATPase regulatory subunit 5",1,11,11,11
"1719","sp|Q8BK63|KC1A_MOUSE","sp|Q8BK63|KC1A_MOUSE","3","3","3","Casein kinase I isoform alpha",1,3,3,3
"1720","sp|Q8BK64|AHSA1_MOUSE","sp|Q8BK64|AHSA1_MOUSE","11","11","11","Activator of 90 kDa heat shock protein ATPase homolog 1",1,11,11,11
"1721","sp|Q8BK67|RCC2_MOUSE","sp|Q8BK67|RCC2_MOUSE","18","18","18","Protein RCC2",1,18,18,18
"1722","sp|Q8BKC5|IPO5_MOUSE","sp|Q8BKC5|IPO5_MOUSE","16","16","16","Importin-5",1,16,16,16
"1723","sp|Q8BKE6|CP20A_MOUSE","sp|Q8BKE6|CP20A_MOUSE","4","4","4","Cytochrome P450 20A1",1,4,4,4
"1724","sp|Q8BKE9|IFT74_MOUSE","sp|Q8BKE9|IFT74_MOUSE","4","4","4","Intraflagellar transport protein 74 homolog",1,4,4,4
"1725","sp|Q8BKZ9|ODPX_MOUSE","sp|Q8BKZ9|ODPX_MOUSE","3","3","3","Pyruvate dehydrogenase protein X component, mitochondrial",1,3,3,3
"1726","sp|Q8BL66|EEA1_MOUSE","sp|Q8BL66|EEA1_MOUSE","8","8","8","Early endosome antigen 1",1,8,8,8
"1727","sp|Q8BL95|CF298_MOUSE","sp|Q8BL95|CF298_MOUSE","2","2","2","Cilia- and flagella-associated protein 298",1,2,2,2
"1728","sp|Q8BL97|SRSF7_MOUSE","sp|Q8BL97|SRSF7_MOUSE","7","6","6","Serine/arginine-rich splicing factor 7",1,7,6,6
"1729","sp|Q8BLF1|NCEH1_MOUSE","sp|Q8BLF1|NCEH1_MOUSE","20","20","20","Neutral cholesterol ester hydrolase 1",1,20,20,20
"1730","sp|Q8BM55|TM214_MOUSE","sp|Q8BM55|TM214_MOUSE","3","3","3","Transmembrane protein 214",1,3,3,3
"1731","sp|Q8BMA6|SRP68_MOUSE","sp|Q8BMA6|SRP68_MOUSE","6","6","6","Signal recognition particle subunit SRP68",1,6,6,6
"1732","sp|Q8BMC4|NOP9_MOUSE","sp|Q8BMC4|NOP9_MOUSE","3","3","3","Nucleolar protein 9",1,3,3,3
"1733","sp|Q8BMD8|SCMC1_MOUSE","sp|Q8BMD8|SCMC1_MOUSE","10","10","10","Calcium-binding mitochondrial carrier protein SCaMC-1",1,10,10,10
"1734","sp|Q8BMF4|ODP2_MOUSE","sp|Q8BMF4|ODP2_MOUSE","14","14","14","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",1,14,14,14
"1735","sp|Q8BMJ2|SYLC_MOUSE","sp|Q8BMJ2|SYLC_MOUSE","3","3","3","Leucine--tRNA ligase, cytoplasmic",1,3,3,3
"1736","sp|Q8BMJ3|IF1AX_MOUSE;sp|Q60872|IF1A_MOUSE","sp|Q8BMJ3|IF1AX_MOUSE;sp|Q60872|IF1A_MOUSE","3;2","3;2","3;2","Eukaryotic translation initiation factor 1A, X-chromosomal;Eukaryotic translation initiation factor 1A",2,3,3,3
"1737","sp|Q8BMK4|CKAP4_MOUSE","sp|Q8BMK4|CKAP4_MOUSE","20","20","20","Cytoskeleton-associated protein 4",1,20,20,20
"1738","sp|Q8BML9|SYQ_MOUSE","sp|Q8BML9|SYQ_MOUSE","12","12","12","Glutamine--tRNA ligase",1,12,12,12
"1739","sp|Q8BMP6|GCP60_MOUSE","sp|Q8BMP6|GCP60_MOUSE","2","2","2","Golgi resident protein GCP60",1,2,2,2
"1740","sp|Q8BMQ2|TF3C4_MOUSE","sp|Q8BMQ2|TF3C4_MOUSE","3","3","3","General transcription factor 3C polypeptide 4",1,3,3,3
"1741","sp|Q8BMS1|ECHA_MOUSE","sp|Q8BMS1|ECHA_MOUSE","52","52","52","Trifunctional enzyme subunit alpha, mitochondrial",1,52,52,52
"1742","sp|Q8BMS9|RASF2_MOUSE;sp|Q8CB96|RASF4_MOUSE","sp|Q8BMS9|RASF2_MOUSE","4;1","4;1","4;1","Ras association domain-containing protein 2",2,4,4,4
"1743","sp|Q8BNW9|KBTBB_MOUSE","sp|Q8BNW9|KBTBB_MOUSE","3","3","3","Kelch repeat and BTB domain-containing protein 11",1,3,3,3
"1744","sp|Q8BP40|PPA6_MOUSE","sp|Q8BP40|PPA6_MOUSE","2","2","2","Lysophosphatidic acid phosphatase type 6",1,2,2,2
"1745","sp|Q8BP47|SYNC_MOUSE","sp|Q8BP47|SYNC_MOUSE","5","5","5","Asparagine--tRNA ligase, cytoplasmic",1,5,5,5
"1746","sp|Q8BP67|RL24_MOUSE","sp|Q8BP67|RL24_MOUSE","8","8","8","60S ribosomal protein L24",1,8,8,8
"1747","sp|Q8BP92|RCN2_MOUSE","sp|Q8BP92|RCN2_MOUSE","3","3","3","Reticulocalbin-2",1,3,3,3
"1748","sp|Q8BPU7|ELMO1_MOUSE","sp|Q8BPU7|ELMO1_MOUSE","14","14","10","Engulfment and cell motility protein 1",1,14,14,10
"1749","sp|Q8BQ30|PPR18_MOUSE","sp|Q8BQ30|PPR18_MOUSE","6","6","6","Phostensin",1,6,6,6
"1750","sp|Q8BQB6|SAXO2_MOUSE","sp|Q8BQB6|SAXO2_MOUSE","2","2","2","Stabilizer of axonemal microtubules 2",1,2,2,2
"1751","sp|Q8BRF7|SCFD1_MOUSE","sp|Q8BRF7|SCFD1_MOUSE","7","7","7","Sec1 family domain-containing protein 1",1,7,7,7
"1752","sp|Q8BRN9|C2D1B_MOUSE","sp|Q8BRN9|C2D1B_MOUSE","2","2","2","Coiled-coil and C2 domain-containing protein 1B",1,2,2,2
"1753","sp|Q8BSN3|ODAD3_MOUSE","sp|Q8BSN3|ODAD3_MOUSE","3","3","3","outer dynein arm-docking complex subunit 3",1,3,3,3
"1754","sp|Q8BSY0|ASPH_MOUSE","sp|Q8BSY0|ASPH_MOUSE","14","14","14","Aspartyl/asparaginyl beta-hydroxylase",1,14,14,14
"1755","sp|Q8BT60|CPNE3_MOUSE;sp|P59108|CPNE2_MOUSE;sp|Q9Z140|CPNE6_MOUSE;sp|Q8BLR2|CPNE4_MOUSE;sp|Q0VE82|CPNE7_MOUSE","sp|Q8BT60|CPNE3_MOUSE","9;1;1;1;1","8;1;1;1;1","7;0;0;0;0","Copine-3",5,9,8,7
"1756","sp|Q8BTI8|SRRM2_MOUSE","sp|Q8BTI8|SRRM2_MOUSE","9","9","9","Serine/arginine repetitive matrix protein 2",1,9,9,9
"1757","sp|Q8BTI9|PK3CB_MOUSE","sp|Q8BTI9|PK3CB_MOUSE","2","2","2","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",1,2,2,2
"1758","sp|Q8BTM8|FLNA_MOUSE","sp|Q8BTM8|FLNA_MOUSE","149","149","143","Filamin-A",1,149,149,143
"1759","sp|Q8BTU1|CFA20_MOUSE","sp|Q8BTU1|CFA20_MOUSE","2","2","2","Cilia- and flagella-associated protein 20",1,2,2,2
"1760","sp|Q8BTV2|CPSF7_MOUSE","sp|Q8BTV2|CPSF7_MOUSE","3","3","3","Cleavage and polyadenylation specificity factor subunit 7",1,3,3,3
"1761","sp|Q8BTW3|EXOS6_MOUSE","sp|Q8BTW3|EXOS6_MOUSE","3","3","3","Exosome complex component MTR3",1,3,3,3
"1762","sp|Q8BTZ7|GMPPB_MOUSE","sp|Q8BTZ7|GMPPB_MOUSE","3","3","3","Mannose-1-phosphate guanyltransferase beta",1,3,3,3
"1763","sp|Q8BU14|SEC62_MOUSE","sp|Q8BU14|SEC62_MOUSE","2","2","2","Translocation protein SEC62",1,2,2,2
"1764","sp|Q8BU30|SYIC_MOUSE","sp|Q8BU30|SYIC_MOUSE","6","6","6","Isoleucine--tRNA ligase, cytoplasmic",1,6,6,6
"1765","sp|Q8BU31|RAP2C_MOUSE","sp|Q8BU31|RAP2C_MOUSE","5","3","2","Ras-related protein Rap-2c",1,5,3,2
"1766","sp|Q8BU33|HACL2_MOUSE","sp|Q8BU33|HACL2_MOUSE","2","2","2","2-hydroxyacyl-CoA lyase 2",1,2,2,2
"1767","sp|Q8BV49|IFIX_MOUSE;sp|Q504N7|IFIXL_MOUSE;sp|O35368|IFI3_MOUSE","sp|Q8BV49|IFIX_MOUSE","24;11;1","24;11;1","23;10;0","Pyrin and HIN domain-containing protein 1",3,24,24,23
"1768","sp|Q8BVE3|VATH_MOUSE","sp|Q8BVE3|VATH_MOUSE","12","12","12","V-type proton ATPase subunit H",1,12,12,12
"1769","sp|Q8BVG4|DPP9_MOUSE","sp|Q8BVG4|DPP9_MOUSE","2","2","2","Dipeptidyl peptidase 9",1,2,2,2
"1770","sp|Q8BVI4|DHPR_MOUSE","sp|Q8BVI4|DHPR_MOUSE","8","8","8","Dihydropteridine reductase",1,8,8,8
"1771","sp|Q8BVK9|SP110_MOUSE","sp|Q8BVK9|SP110_MOUSE","7","7","7","Sp110 nuclear body protein",1,7,7,7
"1772","sp|Q8BVL3|SNX17_MOUSE","sp|Q8BVL3|SNX17_MOUSE","4","4","4","Sorting nexin-17",1,4,4,4
"1773","sp|Q8BVY0|RL1D1_MOUSE","sp|Q8BVY0|RL1D1_MOUSE","2","2","2","Ribosomal L1 domain-containing protein 1",1,2,2,2
"1774","sp|Q8BW49|TTC12_MOUSE","sp|Q8BW49|TTC12_MOUSE","2","2","2","Tetratricopeptide repeat protein 12",1,2,2,2
"1775","sp|Q8BW75|AOFB_MOUSE","sp|Q8BW75|AOFB_MOUSE","13","13","13","Amine oxidase [flavin-containing] B",1,13,13,13
"1776","sp|Q8BWF0|SSDH_MOUSE","sp|Q8BWF0|SSDH_MOUSE","2","2","2","Succinate-semialdehyde dehydrogenase, mitochondrial",1,2,2,2
"1777","sp|Q8BWG8|ARRB1_MOUSE","sp|Q8BWG8|ARRB1_MOUSE","5","5","5","Beta-arrestin-1",1,5,5,5
"1778","sp|Q8BWM0|PGES2_MOUSE","sp|Q8BWM0|PGES2_MOUSE","7","7","7","Prostaglandin E synthase 2",1,7,7,7
"1779","sp|Q8BWQ6|VP35L_MOUSE","sp|Q8BWQ6|VP35L_MOUSE","4","4","4","VPS35 endosomal protein-sorting factor-like",1,4,4,4
"1780","sp|Q8BWT1|THIM_MOUSE","sp|Q8BWT1|THIM_MOUSE","32","32","32","3-ketoacyl-CoA thiolase, mitochondrial",1,32,32,32
"1781","sp|Q8BWY3|ERF1_MOUSE","sp|Q8BWY3|ERF1_MOUSE","5","5","5","Eukaryotic peptide chain release factor subunit 1",1,5,5,5
"1782","sp|Q8BWZ3|NAA25_MOUSE","sp|Q8BWZ3|NAA25_MOUSE","2","2","2","N-alpha-acetyltransferase 25, NatB auxiliary subunit",1,2,2,2
"1783","sp|Q8BX02|KANK2_MOUSE","sp|Q8BX02|KANK2_MOUSE","3","3","3","KN motif and ankyrin repeat domain-containing protein 2",1,3,3,3
"1784","sp|Q8BX70|VP13C_MOUSE","sp|Q8BX70|VP13C_MOUSE","7","7","7","Vacuolar protein sorting-associated protein 13C",1,7,7,7
"1785","sp|Q8BXK9|CLIC5_MOUSE","sp|Q8BXK9|CLIC5_MOUSE","12","11","10","Chloride intracellular channel protein 5",1,12,11,10
"1786","sp|Q8BXQ2|PIGT_MOUSE","sp|Q8BXQ2|PIGT_MOUSE","2","2","2","GPI transamidase component PIG-T",1,2,2,2
